mode: set
qbills/services/adminService.go:32.149,38.2 1 1
qbills/services/membershipService.go:123.2,124.62 2 0
qbills/services/membershipService.go:124.62,126.43 2 0
qbills/services/membershipService.go:126.43,128.4 1 0
qbills/services/membershipService.go:130.2,131.16 2 0
qbills/services/membershipService.go:131.16,133.3 1 0
qbills/services/membershipService.go:135.2,135.20 1 0
qbills/services/membershipService.go:138.70,140.31 2 0
qbills/services/membershipService.go:140.31,142.3 1 0
qbills/services/membershipService.go:144.2,145.16 2 0
qbills/services/membershipService.go:145.16,147.3 1 0
qbills/services/membershipService.go:149.2,149.12 1 0
qbills/services/paymentMethodService.go:29.133,34.2 1 0
qbills/services/paymentMethodService.go:36.145,38.16 2 0
qbills/services/paymentMethodService.go:38.16,40.3 1 0
qbills/services/paymentMethodService.go:42.2,44.38 3 0
qbills/services/paymentMethodService.go:44.38,46.3 1 0
qbills/services/paymentMethodService.go:47.2,49.16 2 0
qbills/services/paymentMethodService.go:49.16,51.3 1 0
qbills/services/paymentMethodService.go:53.2,53.20 1 0
qbills/services/paymentMethodService.go:56.153,58.16 2 0
qbills/services/paymentMethodService.go:58.16,60.3 1 0
qbills/services/paymentMethodService.go:62.2,63.34 2 0
qbills/services/paymentMethodService.go:63.34,65.3 1 0
qbills/services/paymentMethodService.go:67.2,68.54 2 0
qbills/services/paymentMethodService.go:68.54,70.39 2 0
qbills/services/paymentMethodService.go:70.39,72.4 1 0
qbills/services/paymentMethodService.go:74.2,75.16 2 0
qbills/services/paymentMethodService.go:75.16,77.3 1 0
qbills/services/paymentMethodService.go:79.2,79.20 1 0
qbills/services/paymentMethodService.go:82.108,84.34 2 0
qbills/services/paymentMethodService.go:84.34,86.3 1 0
qbills/services/paymentMethodService.go:88.2,88.35 1 0
qbills/services/paymentMethodService.go:91.100,93.16 2 0
qbills/services/paymentMethodService.go:93.16,95.3 1 0
qbills/services/paymentMethodService.go:97.2,97.27 1 0
qbills/services/paymentMethodService.go:100.115,102.26 2 0
qbills/services/paymentMethodService.go:102.26,104.3 1 0
qbills/services/paymentMethodService.go:106.2,106.27 1 0
qbills/services/paymentMethodService.go:109.94,111.34 2 0
qbills/services/paymentMethodService.go:111.34,113.3 1 0
qbills/services/paymentMethodService.go:115.2,116.16 2 0
qbills/services/paymentMethodService.go:116.16,118.3 1 0
qbills/services/paymentMethodService.go:120.2,120.12 1 0
qbills/services/paymentTypeService.go:29.127,34.2 1 0
qbills/services/paymentTypeService.go:36.137,38.16 2 0
qbills/services/paymentTypeService.go:38.16,40.3 1 0
qbills/services/paymentTypeService.go:42.2,45.32 3 0
qbills/services/paymentTypeService.go:45.32,47.3 1 0
qbills/services/paymentTypeService.go:49.2,51.16 2 0
qbills/services/paymentTypeService.go:51.16,53.3 1 0
qbills/services/paymentTypeService.go:55.2,55.20 1 0
qbills/services/paymentTypeService.go:58.145,60.16 2 0
qbills/services/paymentTypeService.go:60.16,62.3 1 0
qbills/services/paymentTypeService.go:64.2,65.32 2 0
qbills/services/paymentTypeService.go:65.32,67.3 1 0
qbills/services/paymentTypeService.go:69.2,70.58 2 0
qbills/services/paymentTypeService.go:70.58,72.33 2 0
qbills/services/paymentTypeService.go:72.33,74.4 1 0
qbills/services/paymentTypeService.go:77.2,78.16 2 0
qbills/services/paymentTypeService.go:78.16,80.3 1 0
qbills/services/paymentTypeService.go:82.2,82.20 1 0
qbills/services/paymentTypeService.go:85.104,87.32 2 0
qbills/services/paymentTypeService.go:87.32,89.3 1 0
qbills/services/paymentTypeService.go:91.2,91.33 1 0
qbills/services/paymentTypeService.go:94.96,96.16 2 0
qbills/services/paymentTypeService.go:96.16,98.3 1 0
qbills/services/paymentTypeService.go:100.2,100.25 1 0
qbills/services/paymentTypeService.go:103.111,105.24 2 0
qbills/services/paymentTypeService.go:105.24,107.3 1 0
qbills/services/paymentTypeService.go:109.2,109.25 1 0
qbills/services/paymentTypeService.go:112.90,114.32 2 0
qbills/services/paymentTypeService.go:114.32,116.3 1 0
qbills/services/paymentTypeService.go:118.2,119.16 2 0
qbills/services/paymentTypeService.go:119.16,121.3 1 0
qbills/services/paymentTypeService.go:123.2,123.12 1 0
qbills/services/productDetailService.go:28.133,33.2 1 0
qbills/services/productDetailService.go:35.144,37.16 2 0
qbills/services/productDetailService.go:37.16,39.3 1 0
qbills/services/productDetailService.go:41.2,47.16 4 0
qbills/services/productDetailService.go:47.16,49.3 1 0
qbills/services/productDetailService.go:51.2,51.20 1 0
qbills/services/productDetailService.go:54.153,56.16 2 0
qbills/services/productDetailService.go:56.16,58.3 1 0
qbills/services/productDetailService.go:60.2,61.32 2 0
qbills/services/productDetailService.go:61.32,63.3 1 0
qbills/services/productDetailService.go:65.2,68.16 3 0
qbills/services/productDetailService.go:68.16,70.3 1 0
qbills/services/productDetailService.go:72.2,72.20 1 0
qbills/services/productDetailService.go:75.109,77.34 2 0
qbills/services/productDetailService.go:77.34,79.3 1 0
qbills/services/productDetailService.go:81.2,81.35 1 0
qbills/services/productDetailService.go:84.100,86.16 2 0
qbills/services/productDetailService.go:86.16,88.3 1 0
qbills/services/productDetailService.go:90.2,90.27 1 0
qbills/services/productDetailService.go:93.124,95.16 2 0
qbills/services/productDetailService.go:95.16,97.3 1 0
qbills/services/productDetailService.go:99.2,99.27 1 0
qbills/services/productDetailService.go:102.95,104.34 2 0
qbills/services/productDetailService.go:104.34,106.3 1 0
qbills/services/productDetailService.go:108.2,109.16 2 0
qbills/services/productDetailService.go:109.16,111.3 1 0
qbills/services/productDetailService.go:113.2,113.12 1 0
qbills/services/productService.go:33.122,38.2 1 0
qbills/services/productService.go:40.134,42.16 2 0
qbills/services/productService.go:42.16,44.3 1 0
qbills/services/productService.go:45.2,50.16 4 0
qbills/services/productService.go:50.16,52.3 1 0
qbills/services/productService.go:54.2,54.20 1 0
qbills/services/productService.go:57.143,59.16 2 0
qbills/services/productService.go:59.16,61.3 1 0
qbills/services/productService.go:63.2,64.27 2 0
qbills/services/productService.go:64.27,66.3 1 0
qbills/services/productService.go:68.2,72.16 3 0
qbills/services/productService.go:72.16,74.3 1 0
qbills/services/productService.go:76.2,76.20 1 0
qbills/services/productService.go:80.111,83.16 2 0
qbills/services/productService.go:83.16,85.3 1 0
qbills/services/productService.go:87.2,87.20 1 0
qbills/services/productService.go:90.107,92.16 2 0
qbills/services/productService.go:92.16,94.3 1 0
qbills/services/productService.go:96.2,96.37 1 0
qbills/services/productService.go:99.118,102.16 2 0
qbills/services/productService.go:102.16,104.3 1 0
qbills/services/productService.go:106.2,106.22 1 0
qbills/services/productService.go:109.129,112.16 2 0
qbills/services/productService.go:112.16,114.3 1 0
qbills/services/productService.go:116.2,116.21 1 0
qbills/services/productService.go:119.90,121.27 2 0
qbills/services/productService.go:121.27,123.3 1 0
qbills/services/productService.go:125.2,127.16 2 0
qbills/services/productService.go:127.16,129.3 1 0
qbills/services/productService.go:131.2,131.12 1 0
qbills/services/productService.go:134.123,149.16 8 0
qbills/services/productService.go:149.16,151.3 1 0
qbills/services/productService.go:153.2,153.30 1 0
qbills/services/productService.go:156.98,158.16 2 0
qbills/services/productService.go:158.16,160.3 1 0
qbills/services/productService.go:162.2,162.26 1 0
qbills/services/productTypeService.go:29.131,34.2 1 0
qbills/services/productTypeService.go:36.129,38.16 2 0
qbills/services/productTypeService.go:38.16,40.3 1 0
qbills/services/productTypeService.go:42.2,44.32 3 0
qbills/services/productTypeService.go:44.32,46.3 1 0
qbills/services/productTypeService.go:48.2,50.16 2 0
qbills/services/productTypeService.go:50.16,52.3 1 0
qbills/services/productTypeService.go:54.2,54.20 1 0
qbills/services/productTypeService.go:57.138,59.16 2 0
qbills/services/productTypeService.go:59.16,61.3 1 0
qbills/services/productTypeService.go:63.2,64.32 2 0
qbills/services/productTypeService.go:64.32,66.3 1 0
qbills/services/productTypeService.go:67.2,69.58 2 0
qbills/services/productTypeService.go:69.58,71.33 2 0
qbills/services/productTypeService.go:71.33,73.4 1 0
qbills/services/productTypeService.go:75.2,76.16 2 0
qbills/services/productTypeService.go:76.16,78.3 1 0
qbills/services/productTypeService.go:80.2,80.20 1 0
qbills/services/productTypeService.go:83.98,85.32 2 0
qbills/services/productTypeService.go:85.32,87.3 1 0
qbills/services/productTypeService.go:89.2,89.33 1 0
qbills/services/productTypeService.go:92.89,94.16 2 0
qbills/services/productTypeService.go:94.16,96.3 1 0
qbills/services/productTypeService.go:98.2,98.26 1 0
qbills/services/productTypeService.go:101.104,103.24 2 0
qbills/services/productTypeService.go:103.24,105.3 1 0
qbills/services/productTypeService.go:107.2,107.25 1 0
qbills/services/productTypeService.go:110.84,112.31 2 0
qbills/services/productTypeService.go:112.31,114.3 1 0
qbills/services/productTypeService.go:116.2,117.16 2 0
qbills/services/productTypeService.go:117.16,119.3 1 0
qbills/services/productTypeService.go:121.2,121.12 1 0
qbills/services/stockService.go:29.163,35.2 1 0
qbills/services/stockService.go:37.126,39.16 2 0
qbills/services/stockService.go:39.16,41.3 1 0
qbills/services/stockService.go:43.2,49.28 4 0
qbills/services/stockService.go:49.28,51.3 1 0
qbills/services/stockService.go:53.2,53.16 1 0
qbills/services/stockService.go:53.16,55.3 1 0
qbills/services/stockService.go:57.2,59.16 2 0
qbills/services/stockService.go:59.16,61.3 1 0
qbills/services/stockService.go:62.2,63.16 2 0
qbills/services/stockService.go:63.16,65.3 1 0
qbills/services/stockService.go:67.2,67.20 1 0
qbills/services/stockService.go:70.96,74.16 2 0
qbills/services/stockService.go:74.16,76.3 1 0
qbills/services/stockService.go:78.2,78.20 1 0
qbills/services/stockService.go:81.105,84.16 2 0
qbills/services/stockService.go:84.16,86.3 1 0
qbills/services/stockService.go:88.2,88.20 1 0
qbills/services/stockService.go:92.101,96.16 2 0
qbills/services/stockService.go:96.16,98.3 1 0
qbills/services/stockService.go:100.2,100.20 1 0
qbills/services/stockService.go:103.101,107.16 2 0
qbills/services/stockService.go:107.16,109.3 1 0
qbills/services/stockService.go:111.2,111.20 1 0
qbills/services/superAdminService.go:28.169,34.2 1 0
qbills/services/superAdminService.go:37.137,39.16 2 0
qbills/services/superAdminService.go:39.16,41.3 1 0
qbills/services/superAdminService.go:43.2,44.16 2 0
qbills/services/superAdminService.go:44.16,46.3 1 0
qbills/services/superAdminService.go:48.2,51.16 3 0
qbills/services/superAdminService.go:51.16,53.3 1 0
qbills/services/superAdminService.go:55.2,55.32 1 0
qbills/services/superAdminService.go:61.102,63.31 2 0
qbills/services/superAdminService.go:63.31,65.3 1 0
qbills/services/superAdminService.go:67.2,67.32 1 0
qbills/services/superAdminService.go:70.94,72.16 2 0
qbills/services/superAdminService.go:72.16,74.3 1 0
qbills/services/superAdminService.go:76.2,76.25 1 0
qbills/services/transaction.go:56.463,67.2 1 0
qbills/services/transaction.go:69.123,71.15 2 0
qbills/services/transaction.go:71.15,72.31 1 0
qbills/services/transaction.go:72.31,74.12 2 0
qbills/services/transaction.go:78.2,79.16 2 0
qbills/services/transaction.go:79.16,81.3 1 0
qbills/services/transaction.go:83.2,84.16 2 0
qbills/services/transaction.go:84.16,86.3 1 0
qbills/services/transaction.go:89.2,90.16 2 0
qbills/services/transaction.go:90.16,92.3 1 0
qbills/services/transaction.go:95.2,96.16 2 0
qbills/services/transaction.go:96.16,98.3 1 0
qbills/services/transaction.go:101.2,102.16 2 0
qbills/services/transaction.go:102.16,104.3 1 0
qbills/services/transaction.go:107.2,113.16 4 0
qbills/services/transaction.go:113.16,115.3 1 0
qbills/services/transaction.go:117.2,118.16 2 0
qbills/services/transaction.go:118.16,120.3 1 0
qbills/services/transaction.go:122.2,123.16 2 0
qbills/services/transaction.go:123.16,125.3 1 0
qbills/services/transaction.go:127.2,128.16 2 0
qbills/services/transaction.go:128.16,130.3 1 0
qbills/services/transaction.go:133.2,134.16 2 0
qbills/services/transaction.go:134.16,136.3 1 0
qbills/services/transaction.go:137.2,154.38 6 0
qbills/services/transaction.go:154.38,158.35 3 0
qbills/services/transaction.go:158.35,160.4 1 0
qbills/services/transaction.go:161.3,161.17 1 0
qbills/services/transaction.go:161.17,163.4 1 0
qbills/services/transaction.go:165.3,167.17 3 0
qbills/services/transaction.go:167.17,169.4 1 0
qbills/services/transaction.go:171.8,173.17 2 0
qbills/services/transaction.go:173.17,175.4 1 0
qbills/services/transaction.go:178.2,178.19 1 0
qbills/services/transaction.go:178.19,181.17 2 0
qbills/services/transaction.go:181.17,183.4 1 0
qbills/services/transaction.go:185.3,186.17 2 0
qbills/services/transaction.go:186.17,188.4 1 0
qbills/services/transaction.go:189.3,189.32 1 0
qbills/services/transaction.go:189.32,192.4 2 0
qbills/services/transaction.go:192.9,195.4 2 0
qbills/services/transaction.go:196.8,198.3 1 0
qbills/services/transaction.go:201.108,202.33 1 0
qbills/services/transaction.go:202.33,205.17 2 0
qbills/services/transaction.go:205.17,207.4 1 0
qbills/services/transaction.go:208.3,208.49 1 0
qbills/services/transaction.go:208.49,210.4 1 0
qbills/services/transaction.go:211.3,211.36 1 0
qbills/services/transaction.go:211.36,213.4 1 0
qbills/services/transaction.go:215.3,218.17 3 0
qbills/services/transaction.go:218.17,220.4 1 0
qbills/services/transaction.go:223.2,223.12 1 0
qbills/services/transaction.go:226.134,228.33 2 0
qbills/services/transaction.go:228.33,230.3 1 0
qbills/services/transaction.go:232.2,233.16 2 0
qbills/services/transaction.go:233.16,235.3 1 0
qbills/services/transaction.go:239.2,242.35 3 0
qbills/services/transaction.go:242.35,244.3 1 0
qbills/services/transaction.go:246.2,246.33 1 0
qbills/services/transaction.go:246.33,249.3 2 0
qbills/services/transaction.go:251.2,251.37 1 0
qbills/services/transaction.go:254.106,257.33 2 0
qbills/services/transaction.go:257.33,260.17 2 0
qbills/services/transaction.go:260.17,262.4 1 0
qbills/services/transaction.go:264.3,264.57 1 0
qbills/services/transaction.go:267.2,267.24 1 0
qbills/services/transaction.go:270.96,274.22 3 0
qbills/services/transaction.go:274.22,276.3 1 0
qbills/services/transaction.go:277.2,277.16 1 0
qbills/services/transaction.go:277.16,279.3 1 0
qbills/services/transaction.go:281.2,283.22 3 0
qbills/services/transaction.go:286.119,289.16 2 0
qbills/services/transaction.go:289.16,291.3 1 0
qbills/services/transaction.go:293.2,294.24 2 0
qbills/services/transaction.go:294.24,296.3 1 0
qbills/services/transaction.go:297.2,297.16 1 0
qbills/services/transaction.go:297.16,299.3 1 0
qbills/services/transaction.go:300.2,300.41 1 0
qbills/services/transaction.go:300.41,302.3 1 0
qbills/services/transaction.go:303.2,303.32 1 0
qbills/services/transaction.go:303.32,305.3 1 0
qbills/services/transaction.go:306.2,309.16 3 0
qbills/services/transaction.go:309.16,311.3 1 0
qbills/services/transaction.go:313.2,318.16 3 0
qbills/services/transaction.go:318.16,320.3 1 0
qbills/services/transaction.go:322.2,322.24 1 0
qbills/services/transaction.go:326.120,330.22 2 0
qbills/services/transaction.go:330.22,332.17 2 0
qbills/services/transaction.go:332.17,334.4 1 0
qbills/services/transaction.go:335.3,336.17 2 0
qbills/services/transaction.go:336.17,338.4 1 0
qbills/services/transaction.go:339.3,343.17 3 0
qbills/services/transaction.go:343.17,345.4 1 0
qbills/services/transaction.go:346.3,351.17 3 0
qbills/services/transaction.go:351.17,353.4 1 0
qbills/services/transaction.go:357.5,358.19 2 0
qbills/services/transaction.go:358.19,360.6 1 0
qbills/services/transaction.go:362.5,362.15 1 0
qbills/services/transaction.go:365.96,371.21 6 0
qbills/services/transaction.go:372.9,373.18 1 0
qbills/services/transaction.go:374.9,375.18 1 0
qbills/services/transaction.go:376.9,377.18 1 0
qbills/services/transaction.go:378.10,379.50 1 0
qbills/services/transaction.go:381.2,382.21 2 0
qbills/services/transaction.go:385.86,386.26 1 0
qbills/services/transaction.go:386.26,388.3 1 0
qbills/services/transaction.go:389.2,389.12 1 0
qbills/services/transaction.go:392.90,394.32 1 0
qbills/services/transaction.go:394.32,396.3 1 0
qbills/services/transaction.go:397.2,397.12 1 0
qbills/services/transaction.go:400.75,401.22 1 0
qbills/services/transaction.go:401.22,403.3 1 0
qbills/services/transaction.go:404.2,404.12 1 0
qbills/services/transaction.go:407.102,408.40 1 0
qbills/services/transaction.go:408.40,410.3 1 0
qbills/services/transaction.go:411.2,411.12 1 0
qbills/services/transaction.go:414.103,416.13 2 0
qbills/services/transaction.go:416.13,418.3 1 0
qbills/services/transaction.go:420.2,421.16 2 0
qbills/services/transaction.go:421.16,423.3 1 0
qbills/services/transaction.go:425.2,426.16 2 0
qbills/services/transaction.go:426.16,428.3 1 0
qbills/services/transaction.go:430.2,430.12 1 0
qbills/services/transaction.go:433.91,435.19 2 0
qbills/services/transaction.go:435.19,437.3 1 0
qbills/services/transaction.go:439.2,439.58 1 0
qbills/services/transaction.go:439.58,441.16 2 0
qbills/services/transaction.go:441.16,442.32 1 0
qbills/services/transaction.go:442.32,444.13 2 0
qbills/services/transaction.go:448.3,449.17 2 0
qbills/services/transaction.go:449.17,451.4 1 0
qbills/services/transaction.go:453.3,454.17 2 0
qbills/services/transaction.go:454.17,456.4 1 0
qbills/services/transaction.go:459.3,460.17 2 0
qbills/services/transaction.go:460.17,462.4 1 0
qbills/services/transaction.go:464.3,465.17 2 0
qbills/services/transaction.go:465.17,467.4 1 0
qbills/services/transaction.go:468.8,470.3 1 0
qbills/services/transaction.go:472.2,472.12 1 0
qbills/services/transaction.go:475.92,477.15 2 0
qbills/services/transaction.go:477.15,478.31 1 0
qbills/services/transaction.go:478.31,480.12 2 0
qbills/services/transaction.go:484.2,490.16 3 0
qbills/services/transaction.go:490.16,492.3 1 0
qbills/services/transaction.go:493.2,494.19 2 0
qbills/services/transaction.go:494.19,496.3 1 0
qbills/services/transaction.go:498.2,499.16 2 0
qbills/services/transaction.go:499.16,501.3 1 0
qbills/services/transaction.go:503.2,504.16 2 0
qbills/services/transaction.go:504.16,506.3 1 0
qbills/services/transaction.go:509.2,510.16 2 0
qbills/services/transaction.go:510.16,512.3 1 0
qbills/services/transaction.go:514.2,515.16 2 0
qbills/services/transaction.go:515.16,517.3 1 0
qbills/services/transaction.go:520.2,520.20 1 0
qbills/services/transaction.go:523.99,525.19 2 0
qbills/services/transaction.go:525.19,527.3 1 0
qbills/services/transaction.go:528.2,528.20 1 0
qbills/services/transaction.go:531.79,533.32 2 0
qbills/services/transaction.go:533.32,535.3 1 0
qbills/services/transaction.go:537.2,537.33 1 0
qbills/services/transaction.go:540.92,542.32 2 0
qbills/services/transaction.go:542.32,544.3 1 0
qbills/services/transaction.go:546.2,546.33 1 0
qbills/services/transaction.go:549.90,552.32 3 0
qbills/services/transaction.go:552.32,554.3 1 0
qbills/services/transaction.go:556.2,556.33 1 0
qbills/services/transaction.go:559.88,562.16 3 0
qbills/services/transaction.go:562.16,564.3 1 0
qbills/services/transaction.go:565.2,565.32 1 0
qbills/services/transaction.go:565.32,567.3 1 0
qbills/services/transaction.go:569.2,569.33 1 0
qbills/services/transaction.go:573.93,576.32 3 0
qbills/services/transaction.go:576.32,578.3 1 0
qbills/services/transaction.go:580.2,580.33 1 0
qbills/services/transaction.go:583.89,585.16 2 0
qbills/services/transaction.go:585.16,587.3 1 0
qbills/services/transaction.go:589.2,589.44 1 0
qbills/services/transaction.go:592.105,594.15 2 0
qbills/services/transaction.go:594.15,596.3 1 0
